,area,value,year,item
30,鳥取県,94621.08731466226,1958.0,pergdp
31,島根県,85349.83498349835,1958.0,pergdp
32,岡山県,99929.80368828078,1958.0,pergdp
33,広島県,125258.30258302586,1958.0,pergdp
34,山口県,115051.75600739373,1958.0,pergdp
35,徳島県,84679.06976744186,1958.0,pergdp
36,香川県,104634.40860215056,1958.0,pergdp
37,愛媛県,99927.8215223097,1958.0,pergdp
38,高知県,87731.34328358209,1958.0,pergdp
39,福岡県,132028.39909525006,1958.0,pergdp
40,佐賀県,90379.16666666666,1958.0,pergdp
41,長崎県,89867.64705882354,1958.0,pergdp
42,熊本県,76429.25278219396,1958.0,pergdp
43,大分県,98470.58823529413,1958.0,pergdp
44,宮崎県,74854.64098073555,1958.0,pergdp
45,鹿児島県,73562.65601597603,1958.0,pergdp
46,沖縄県,49708.24742268042,1958.0,pergdp
0,北海道,141767.29308276688,1959.0,pergdp
1,青森県,92265.44943820225,1959.0,pergdp
2,岩手県,92042.06896551725,1959.0,pergdp
3,宮城県,107558.67200915856,1959.0,pergdp
4,秋田県,109387.48137108792,1959.0,pergdp
5,山形県,95093.30323551543,1959.0,pergdp
6,福島県,97426.2928951184,1959.0,pergdp
7,茨城県,105463.18868844467,1959.0,pergdp
8,栃木県,119456.16348055373,1959.0,pergdp
9,群馬県,99888.53904282117,1959.0,pergdp
10,埼玉県,102300.25231286797,1959.0,pergdp
11,千葉県,92219.92976294996,1959.0,pergdp
12,東京都,247476.2006631725,1959.0,pergdp
13,神奈川県,178408.16944024203,1959.0,pergdp
14,新潟県,114932.7079934747,1959.0,pergdp
15,富山県,134357.90494665375,1959.0,pergdp
16,石川県,139200.82389289394,1959.0,pergdp
17,福井県,123567.06507304116,1959.0,pergdp
18,山梨県,93354.51080050826,1959.0,pergdp
19,長野県,100686.77727501256,1959.0,pergdp
20,岐阜県,130070.24029574863,1959.0,pergdp
21,静岡県,152117.13030746704,1959.0,pergdp
22,愛知県,185990.24390243908,1959.0,pergdp
23,三重県,133322.9939312205,1959.0,pergdp
24,滋賀県,137810.7142857143,1959.0,pergdp
25,京都府,142251.50905432596,1959.0,pergdp
26,大阪府,218128.44729882886,1959.0,pergdp
27,兵庫県,166838.02083333337,1959.0,pergdp
28,奈良県,115537.17948717947,1959.0,pergdp
29,和歌山県,137350.2994011976,1959.0,pergdp
30,鳥取県,106289.73509933775,1959.0,pergdp
31,島根県,96736.37374860956,1959.0,pergdp
32,岡山県,116001.78997613366,1959.0,pergdp
